birch_cluster_label,level_count,game_start_count,active_days,avg_revenue_per_level,ltv_d7
High Revenue,24.5157153633392,7.461606243705941,3.6651560926485396,0.0860482652919386,2.109534779406266
Low Revenue,7.725977011494253,2.6445661176037545,1.7603294377473084,0.0017576028397407054,0.013579199135173707
Medium Revenue,12.95270383264667,4.1028289794921875,2.429473876953125,0.01782888109198079,0.23093221645190132
No or Very Low Revenue,6.482802978131781,2.2509999254713935,1.7436712791593174,1.5001485224460718e-07,9.725167308953385e-07
